time slot,edge_cpu,iot_cpu
319,0.05,0.26
320,0.05,0.21
321,0.05,0.25
322,0.06,0.24
323,0.06,0.25
324,0.06,0.27
325,0.05,0.25
326,0.05,0.21
327,0.04,0.19
328,0.06,0.16
329,0.05,0.15
330,0.05,0.16
331,0.04,0.18
332,0.04,0.17
333,0.04,0.18
334,0.05,0.18
335,0.03,0.23
336,0.07,0.24
337,0.2,0.28
338,0.19,0.34
339,0.2,0.44
340,0.19,0.28
341,0.19,0.32
342,0.19,0.4
343,0.1,0.42
344,0.12,0.46
345,0.14,0.41
346,0.19,0.39
347,0.16,0.41
348,0.12,0.71
349,0.11,0.71
350,0.83,0.71
351,0.96,0.68
352,0.95,0.68
353,0.96,0.75
354,0.96,0.62
355,0.95,0.65
356,0.95,0.54
357,0.95,0.63
358,0.95,0.6
359,0.52,0.61
360,0.62,0.61
361,0.62,0.58
362,0.69,0.62
363,0.62,0.59
364,0.62,0.82
365,0.62,0.65
366,0.63,0.5
367,0.39,0.55
368,0.06,0.65
369,0.05,0.7
370,0.05,0.77
371,0.08,0.7
372,0.07,0.53
373,0.05,0.56
374,0.11,0.51
375,0.16,0.52
376,0.16,0.53
377,0.13,0.52
378,0.04,0.57
379,0.03,0.51
380,0.03,0.52
381,0.03,0.58
382,0.04,0.6
383,0.13,0.59
384,0.19,0.85
385,0.13,0.82
386,0.18,0.84
387,0.1,0.83
388,0.13,0.76
389,0.06,0.58
390,0.06,0.59
391,0.06,0.59
392,0.07,0.76
393,0.05,0.52
394,0.07,0.5
395,0.05,0.49
396,0.06,0.51
397,0.05,0.56
398,0.06,0.54
399,0.06,0.49
400,0.06,0.57
401,0.06,0.54
402,0.05,0.57
403,0.04,0.56
404,0.06,0.52
405,0.05,0.71
406,0.05,0.57
407,0.05,0.5
408,0.06,0.5
409,0.06,0.48
410,0.06,0.54
411,0.04,0.5
412,0.04,0.61
413,0.05,0.56
414,0.06,0.88
415,0.05,0.5
416,0.06,0.49
417,0.05,0.56
418,0.06,0.48
419,0.05,0.57
420,0.06,0.69
421,0.07,0.51
422,0.06,0.66
423,0.05,0.54
424,0.06,0.52
425,0.05,0.46
426,0.05,0.47
427,0.04,0.52
428,0.07,0.5
429,0.05,0.54
430,0.05,0.52
431,0.05,0.59
432,0.06,0.52
433,0.06,0.57
434,0.36,0.53
435,0.31,0.55
436,0.22,0.55
437,0.1,0.46
438,0.06,0.48
439,0.04,0.55
440,0.04,0.44
441,0.03,0.49
442,0.04,0.55
443,0.04,0.49
444,0.05,0.56
445,0.04,0.47
446,0.03,0.5
447,0.03,0.55
448,0.05,0.5
449,0.04,0.6
450,0.08,0.52
451,0.08,0.73
452,0.05,0.55
453,0.05,0.53
454,0.06,0.55
455,0.04,0.57
456,0.08,0.53
457,0.06,0.5
458,0.03,0.49
459,0.02,0.72
460,0.05,0.49
461,0.13,0.49
462,0.12,0.49
463,0.03,0.51
464,0.07,0.56
465,0.29,0.57
466,0.46,0.63
467,0.49,0.59
468,0.51,0.65
469,0.61,0.67
470,0.73,0.72
471,0.61,0.35
472,0.65,0.16
473,0.63,0.17
474,0.67,0.39
475,0.49,0.47
476,0.66,0.55
477,0.63,0.47
478,0.71,0.59
479,0.71,0.55
480,0.83,0.3
481,0.91,0.54
482,0.86,0.78
483,0.83,0.37
484,0.82,0.16
485,0.75,0.15
486,0.72,0.06
487,0.72,0.11
488,0.75,0.57
489,0.74,0.54
490,0.77,0.49
491,0.78,0.54
492,0.85,0.75
493,0.86,0.4
494,0.68,0.53
495,0.9,0.77
496,0.94,0.63
497,0.91,0.36
498,0.94,0.72
499,0.35,0.58
500,0.17,0.47
501,0.34,0.52
502,0.46,0.65
503,0.29,0.64
504,0.43,0.94
505,0.44,0.63
506,0.38,0.93
507,0.72,0.76
508,0.58,0.68
509,0.42,0.61
510,0.38,0.5
511,0.59,0.69
512,0.54,0.63
513,0.52,0.54
514,0.7,0.66
515,0.6,0.57
516,0.59,0.78
517,0.6,0.59
518,0.65,0.48
519,0.61,0.35
520,0.59,0.76
521,0.6,0.88
522,0.44,0.85
523,0.89,0.83
524,0.91,0.79
525,0.89,0.54
526,0.89,0.69
527,0.95,0.74
528,0.89,0.64
529,0.89,0.71
530,0.67,0.73
531,0.81,0.8
532,0.95,0.78
533,0.91,0.8
534,0.95,0.59
535,0.9,0.68
536,0.73,0.76
537,0.73,0.73
538,0.54,0.66
539,0.54,0.65
540,0.53,0.6
541,0.48,0.48
542,0.53,0.57
543,0.5,0.43
544,0.55,0.74
545,0.59,0.56
546,0.44,0.92
547,0.56,0.55
548,0.76,0.66
549,0.81,0.48
550,0.72,0.85
551,0.64,0.72
552,0.73,0.54
553,0.53,0.59
554,0.6,0.87
555,0.39,0.78
556,0.37,0.4
557,0.29,0.52
558,0.38,0.61
559,0.5,0.77
560,0.44,0.94
561,0.35,0.85
562,0.34,1
563,0.88,0.42
564,0.89,0.55
565,0.94,0.78
566,0.79,0.69
567,0.62,0.55
568,0.29,0.55
569,0.32,0.96
570,0.35,0.61
571,0.44,0.73
572,0.37,0.56
573,0.47,0.54
574,0.32,0.68
575,0.34,0.95
576,0.88,0.95
577,0.77,0.84
578,0.87,0.64
579,0.87,0.71
580,0.35,0.99
581,0.47,0.99
582,0.42,0.99
583,0.54,0.99
584,0.46,1
585,0.51,0.99
586,0.55,0.77
587,0.59,0.43
588,0.5,0.22
589,0.31,0.31
590,0.36,0.5
591,0.37,0.54
592,0.34,0.47
593,0.33,0.64
594,0.34,0.75
595,0.26,0.76
596,0.38,0.97
597,0.32,0.74
598,0.33,0.78
599,0.35,0.74
600,0.36,0.88
601,0.37,0.66
602,0.39,0.66
603,0.38,0.86
604,0.4,0.9
605,0.38,0.53
606,0.43,0.48
607,0.44,0.64
608,0.62,0.81
609,0.73,0.75
610,0.56,0.74
611,0.43,0.73
612,0.28,0.61
613,0.4,0.67
614,0.64,0.53
615,0.79,0.67
616,0.78,0.55
617,0.79,0.4
618,0.83,0.79
619,0.79,0.55
620,0.75,0.66
621,0.75,0.57
622,0.78,0.73
623,0.55,0.73
624,0.83,0.28
625,0.81,0.49
626,0.81,0.62
627,0.81,0.91
628,0.83,0.91
629,0.88,0.86
630,0.84,0.91
631,0.89,0.87
632,0.81,0.89
633,0.2,0.43
634,0.37,0.65
635,0.47,0.51
636,0.24,0.46
637,0.4,0.54
638,0.43,0.69
639,0.37,0.44
640,0.38,0.17
641,0.39,0.22
642,0.37,0.44
643,0.32,0.52
644,0.62,0.71
645,0.5,0.89
646,0.4,0.98
647,0.5,0.83
648,0.59,0.97
649,0.45,0.72
650,0.45,0.83
651,0.44,0.86
652,0.29,0.44
653,0.98,0.49
654,0.97,0.78
655,1,0.54
656,0.99,0.91
657,0.99,0.45
658,0.82,0.5
659,0.87,0.3
660,0.88,0.3
661,0.81,0.47
662,0.7,0.69
663,0.87,0.74
664,0.67,0.66
665,0.87,0.55
666,0.79,0.62
667,0.19,0.67
668,0.35,0.73
669,0.35,0.96
670,0.21,0.96
671,0.3,0.65
672,0.58,0.71
673,0.58,0.84
674,0.45,0.86
675,0.6,0.79
676,0.63,0.77
677,0.76,0.89
678,0.67,0.88
679,0.84,0.8
680,0.98,0.53
681,0.99,0.55
682,0.97,0.55
683,0.91,0.5
684,0.92,0.53
685,0.8,0.45
686,0.76,0.59
687,0.86,0.41
688,0.81,0.6
689,0.59,0.55
690,0.79,0.62
691,0.79,0.85
692,0.32,0.95
693,0.36,0.96
694,0.33,0.8
695,0.32,0.81
696,0.32,0.85
697,0.25,0.78
698,0.26,0.61
699,0.31,0.43
700,0.37,0.43
701,0.78,0.3
702,0.76,0.57
703,0.87,0.66
704,0.9,0.56
705,0.61,0.42
706,0.56,0.61
707,0.63,0.51
708,0.64,0.3
709,0.67,0.48
710,0.74,0.64
711,0.59,0.49
712,0.53,0.56
713,0.33,0.7
714,0.47,0.53
715,0.59,0.53
716,0.44,0.47
717,0.28,0.41
718,0.31,0.5
719,0.48,0.39
720,0.95,0.33
721,0.96,0.29
722,0.98,0.43
723,0.96,0.28
724,0.94,0.64
725,0.96,0.75
726,0.95,0.71
727,0.88,0.66
728,0.97,0.47
729,0.79,0.66
730,0.62,0.78
731,0.62,0.64
732,0.64,0.69
733,0.52,0.69
734,0.59,0.83
735,0.81,0.82
736,0.59,0.7
737,0.73,0.7
738,0.8,0.86
739,0.76,0.68
740,0.69,0.78
741,0.56,0.69
742,0.54,0.48
743,0.45,0.47
744,0.59,0.49
745,0.56,0.37
746,0.51,0.88
747,0.38,0.91
748,0.57,0.9
749,0.46,0.82
750,0.49,0.89
751,0.46,0.93
752,0.36,0.87
753,0.61,0.88
754,0.64,0.52
755,0.77,0.66
756,0.64,0.64
757,0.35,0.6
758,0.39,0.62
759,0.6,0.95
760,0.46,0.62
761,0.5,0.62
762,0.45,0.62
763,0.5,0.53
764,0.59,0.69
765,0.49,0.9
766,0.97,0.92
767,0.97,0.87
768,0.99,0.91
769,0.94,0.94
770,0.98,0.89
771,0.98,0.98
772,0.97,0.96
773,0.98,0.94
774,0.79,0.95
775,0.73,0.92
776,0.75,0.94
777,0.76,0.92
778,0.75,0.5
779,0.69,0.56
780,0.78,0.58
781,0.77,0.55
782,0.49,0.5
783,0.57,0.49
784,0.47,0.5
785,0.35,0.51
786,0.46,0.49
787,0.38,0.79
788,0.57,0.54
789,0.54,0.52
790,0.56,0.66
791,0.54,0.48
792,0.46,0.74
793,0.53,0.62
794,0.55,0.41
795,0.44,0.72
796,0.41,0.5
797,0.21,0.62
798,0.32,0.66
799,0.35,0.72
800,0.43,0.74
801,0.46,0.7
802,0.43,0.77
803,0.43,0.47
804,0.46,0.6
805,0.45,0.75
806,0.44,0.63
807,0.38,0.46
808,0.43,0.3
809,0.44,0.37
810,0.46,0.64
811,0.36,0.65
812,0.43,0.47
813,0.47,0.63
814,0.46,0.58
815,0.53,0.62
816,0.64,0.73
817,0.59,0.6
818,0.33,0.71
819,0.32,0.53
820,0.52,0.4
821,0.48,0.3
822,0.4,0.46
823,0.4,0.32
824,0.45,0.11
825,0.45,0.28
826,0.59,0.28
827,0.45,0.86
828,0.45,0.61
829,0.44,0.53
830,0.45,0.53
831,0.37,0.46
832,0.4,0.46
833,0.59,0.78
834,0.61,0.49
835,0.69,0.38
836,0.54,0.16
837,0.52,0.2
838,0.57,0.68
839,0.3,0.74
840,0.33,0.7
841,0.4,0.71
842,0.61,0.85
843,0.53,0.85
844,0.27,0.63
845,0.61,0.37
846,0.53,0.37
847,0.49,0.91
848,0.49,0.92
849,0.29,0.72
850,0.29,0.75
851,0.3,0.76
852,0.31,0.72
853,0.3,0.74
854,0.29,0.76
855,0.31,0.7
856,0.29,0.86
857,0.35,0.86
858,0.46,0.86
859,0.37,0.86
860,0.34,0.86
861,0.37,0.89
862,0.4,0.91
863,0.45,0.63
864,0.78,0.79
865,0.83,0.63
866,0.74,0.67
867,0.7,0.72
868,0.68,0.72
869,0.7,0.62
870,0.68,0.6
871,0.16,0.25
872,0.1,0.13
873,0.34,0.14
874,0.15,0.14
875,0.25,0.1
876,0.37,0.11
877,0.28,0.09
878,0.15,0.11
879,0.25,0.1
880,0.36,0.1
881,0.38,0.1
882,0.37,0.11
883,0.25,0.1
884,0.16,0.15
885,0.15,0.11
886,0.16,0.1
887,0.15,0.15
888,0.16,0.46
889,0.16,0.45
890,0.27,0.43
891,0.48,0.72
892,0.67,0.66
893,0.79,0.46
894,0.61,0.72
895,0.19,0.69
896,0.37,0.67
897,0.47,0.25
898,0.64,0.16
899,0.43,0.25
900,0.45,0.23
901,0.47,0.45
902,0.11,0.47
903,0.41,0.53
904,0.61,0.52
905,0.7,0.53
906,0.5,0.62
907,0.49,0.57
908,0.69,0.51
909,0.7,0.44
910,0.68,0.77
911,0.38,0.7
912,0.32,0.96
913,0.32,0.96
914,0.33,0.96
915,0.32,0.96
916,0.23,0.42
917,0.32,0.15
918,0.31,0.13
919,0.44,0.13
920,0.66,0.14
921,0.67,0.13
922,0.63,0.13
923,0.65,0.61
924,0.54,0.14
925,0.54,0.14
926,0.54,0.21
927,0.49,0.53
928,0.62,0.56
929,0.79,0.33
930,0.94,0.29
931,0.96,0.9
932,0.76,0.93
933,0.84,0.88
934,0.97,0.8
935,0.86,0.77
936,0.72,0.82
937,0.6,0.79
938,0.6,0.76
